ID	SMILES	compound_name	compound_id	DT50_count	DT50_gmean	DT50_log_median	DT50_log_gmean	DT50_log_spread	DT50_log_std	DT50_log_bayesian_mean	DT50_log_bayesian_std	DT50_log_bayesian_mean_std	acidity_std	CEC_log_std	OC_log_std	biomass_log_std	temperature_std	canonical_SMILES	cropped_canonical_SMILES	cropped_canonical_SMILES_no_stereo
1	ClC=CCCl	1,3-Dichloropropene	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/cac57bca-a6b8-407a-915f-8eb1fb46661a/structure/6901fa22-a039-46d1-816f-5c9d8fee2da2	6	17.104550332586445	1.147640570558424	1.233111661353974	0.4476879819655173	0.1760635729164567	1.24	0.32	0.14	0.7781745019952503	0.1642450262808888	0.1504499058255828	0.2805421515159922	3.72677996249965	Cl/C=C/CCl	Cl/C=C/CCl	ClC=CCCl
2	OCC=CCl	3-Chloroallyl alcohol	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/0bdb6cba-f7a9-4375-a0fb-b38eeef122d3/structure/b799ae3f-29f1-471f-8b55-10d39532425e	10	0.3028011363072271	-0.4119543704721594	-0.5188424994129406	0.7781512503836436	0.2978982450294379	-0.54	0.4	0.14	0.7828793010419934	0.1558410930772787	0.1595645121405282	0.2511869983385976	3.0	OC/C=C/Cl	OC/C=C/Cl	OCC=CCl
3	O=C([O-])C=CCl	3-Chloroacrylic acid	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/2f6e4dee-68b4-4c8f-b465-e2591f3a37a6/structure/f9cc45cd-767f-48e6-b10a-7d975dd5abf3	10	6.157492906094701	0.897592294841212	0.7894039201707914	1.6320232147054057	0.5027105195098202	0.8	0.53	0.18	0.7828793010419934	0.1558410930772787	0.1595645121405282	0.2511869983385976	3.0	O=C([O-])/C=C/Cl	O=C([O-])/C=C/Cl	O=C([O-])C=CCl
4	NC(=O)Cc1cccc2ccccc12	1-naphthylacetamide	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1f07634f-4c6e-4736-af3c-056f147f94c7/structure/7913d066-2daa-4d3b-9f1d-452571fb79f3	6	0.3692811111508712	-0.3979400086720376	-0.432642906085127	1.419894584560088	0.4216836230261129	-0.39	0.45	0.2	0.8610394235392993	0.2090023680865097	0.2470247735949879	0.2290308768078824	0.0	NC(=O)Cc1cccc2ccccc12	NC(=O)Cc1cccc2ccccc12	NC(=O)Cc1cccc2ccccc12
5	O=C(O)c1cccc2ccccc12	1-naphthoic acid (M2)	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1bb450ac-b75a-4a43-b43c-a4d1e11f61c3/structure/0cc9c9a6-7743-4756-ae4e-50e9a831e447	8	0.896767281308755	-0.0452754765093667	-0.0473202454245444	0.6656217717571635	0.1999327049910093	-0.04	0.31	0.12	0.5717298313014636	0.1808468216978321	0.2588458199485824	0.1209247821589131	0.0	O=C(O)c1cccc2ccccc12	O=C(O)c1cccc2ccccc12	O=C(O)c1cccc2ccccc12
6	O=C(O)Cc1cccc2ccccc12	2-(1-naphtyl)acetic acid (M1)	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/c8dd8052-1273-4d54-8848-1edc13bedb21/structure/84ebf8d3-5c09-457d-9ea9-88e5898a238c	14	3.879480007837864	0.4811562497608166	0.5887735181558844	1.5610231394398717	0.387856316742035	0.02	0.75	0.53	0.5918235396136389	0.2002681383768351	0.3185333150759719	0.1209247821589131	1.2876968840942815	O=C(O)Cc1cccc2ccccc12	O=C(O)Cc1cccc2ccccc12	O=C(O)Cc1cccc2ccccc12
7	O=C(O)COc1ccc(Cl)cc1Cl	2,4-D	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/a441e53a-6e7b-45fc-851c-b7c93cd1f4a1/structure/384e53de-7f1b-4cf6-bcaf-8d2a6e3784c3	38	6.5450104372614994	0.8450980400142568	0.815910343452315	1.602792977969305	0.3896779293829611	0.56	0.61	0.23	0.771501575786105	0.154076424833978	0.3204087280330177	0.2183930272674426	3.613353917154012	O=C(O)COc1ccc(Cl)cc1Cl	O=C(O)COc1ccc(Cl)cc1Cl	O=C(O)COc1ccc(Cl)cc1Cl
8	Oc1ccc(Cl)cc1Cl	2,4-Dichlorophenol	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/ec701df9-090a-48ba-a5f3-43e947ecebe7/structure/96e61292-fa9c-49f3-9c76-f09a0e62ca74	4	2.245992420508117	0.5123865590935088	0.3514082863256818	1.4614720741597682	0.5678486859496136	0.37	0.6	0.34	0.8874119674649424	0.2409480400074868	0.1792962750357737	0.4727752982383212	0.0	Oc1ccc(Cl)cc1Cl	Oc1ccc(Cl)cc1Cl	Oc1ccc(Cl)cc1Cl
9	O=C(O)CCCOc1ccc(Cl)cc1Cl	2,4-DB	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1a567571-d6aa-4f3e-849f-6c2be79b077e/structure/ff51abea-e07d-4088-8753-1bdc40aa5d09	10	3.511147548639562	0.316779470501389	0.5454490801670175	1.6877182226157714	0.5954341788638122	0.56	0.61	0.2	0.8138795979750323	0.2912000281627246	0.2608328734042472	0.4727752982383212	2.0	O=C(O)CCCOc1ccc(Cl)cc1Cl	O=C(O)CCCOc1ccc(Cl)cc1Cl	O=C(O)CCCOc1ccc(Cl)cc1Cl
10	O=C(O)COc1ccc2ccccc2c1	2-naphthyloxyacetic acid	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/a7714bce-6f0e-47fb-8cab-fab3dc7a6005/structure/41e11b49-eb9b-42ba-942b-f4758f3ce4ed	28	31.31889057973377	1.5559587474616912	1.4958063694895651	1.6424886483835706	0.4085787795015659	1.5	0.42	0.08	0.967132042564562	0.1585075408954676	0.1846214379985166		5.24890659167824	O=C(O)COc1ccc2ccccc2c1	O=C(O)COc1ccc2ccccc2c1	O=C(O)COc1ccc2ccccc2c1
